rating,review_count,name,categories0,phone,image_url,id,city,postal_code,address,latitude,longitude,state,categories1,categories2
4.5,45,Lompoc Sidebar,pubs,5032883996,https://s3-media4.fl.yelpcdn.com/bphoto/ikIv5l7Io9hoDyx-4lpG8g/ms.jpg,lompoc-sidebar-portland-2,Portland,97227,3901A N Williams Ave,45.55101,-122.66707,OR,breweries,tradamerican
5,36,Cider Bite,pubs,5037655655,https://s3-media3.fl.yelpcdn.com/bphoto/JY_yZaq4aD2vrfuunkht4g/ms.jpg,cider-bite-portland,Portland,97209,1230 NW Hoyt St,45.5270401,-122.6838515,OR,gluten_free,cideries
4.5,52,The Civic Taproom & Bottle Shop,beerbar,5034774621,https://s3-media3.fl.yelpcdn.com/bphoto/ohrVITnJILV_oD543E98RQ/ms.jpg,the-civic-taproom-and-bottle-shop-portland,Portland,97205,621 SW 19th Ave,45.52245993,-122.6905449,OR,sportsbars,
4.5,175,Leisure Public House,pubs,5032897606,https://s3-media2.fl.yelpcdn.com/bphoto/5WqGaOlTYv-KKFJOqfTQIg/ms.jpg,leisure-public-house-portland,Portland,97203,8002 N Lombard St,45.58906937,-122.7482681,OR,tradamerican,
4,517,"EastBurn : Eat, Drink, Play",pubs,5032362876,https://s3-media3.fl.yelpcdn.com/bphoto/2j0XiWqv5-UaobTbH1Hv4A/ms.jpg,eastburn-eat-drink-play-portland,Portland,97214,1800 E Burnside St,45.5227459,-122.6473965,OR,newamerican,breakfast_brunch
4.5,77,Bottles,pubs,5032877022,https://s3-media4.fl.yelpcdn.com/bphoto/J0uPUeViWPBzMvIZpSbqUw/ms.jpg,bottles-portland,Portland,97213,5015 NE Fremont St,45.54849,-122.61084,OR,beer_and_wine,bbq
4.5,86,Bridge City Taproom,beerbar,9712027267,https://s3-media1.fl.yelpcdn.com/bphoto/NtxZ4Zr6PK6gN5hinbF96A/ms.jpg,bridge-city-taproom-portland,Portland,97233,620 SE 122nd Ave,45.51794062,-122.5373626,OR,sportsbars,newamerican
4,139,PINTS,pubs,5035642739,https://s3-media4.fl.yelpcdn.com/bphoto/mK6Pr-hBN6x1Erc7cfl2lg/ms.jpg,pints-portland-2,Portland,97209,412 NW 5th Ave,45.5261917,-122.6752167,OR,breweries,coffee
4.5,31,Parkside,pubs,5037196826,https://s3-media2.fl.yelpcdn.com/bphoto/2R_jfeYDdMsBv_o1K4T0ww/ms.jpg,parkside-portland,Portland,97217,2135 N Willis Blvd,45.58386697,-122.6889887,OR,,
4.5,38,Donnie Vegas,divebars,5034777244,https://s3-media2.fl.yelpcdn.com/bphoto/Ynl5iYlJ2Fs30lhSCxWPMA/ms.jpg,donnie-vegas-portland,Portland,97211,1203 NE Alberta St,45.55919234,-122.653465,OR,,
4,79,Joe's Cellar,divebars,5032238825,https://s3-media4.fl.yelpcdn.com/bphoto/FquTpDO5dHvT5_StgC6VIg/ms.jpg,joes-cellar-portland,Portland,97209,1332 NW 21st Ave,45.53229779,-122.6946118,OR,tradamerican,diners
4,114,Gigantic Brewing Company,breweries,5032083416,https://s3-media4.fl.yelpcdn.com/bphoto/Z7tVXBsg8-1XcvzpFnWuBQ/ms.jpg,gigantic-brewing-company-portland,Portland,97202,5224 SE 26th Ave,45.48497,-122.639,OR,beergardens,bars
4,83,Journeys,pubs,9712794227,https://s3-media3.fl.yelpcdn.com/bphoto/DEP9tgg-z9g6s7ZxS-c_Pw/ms.jpg,journeys-portland-2,Portland,97219,7771 SW Capitol Hwy,45.46846,-122.71226,OR,,
4.5,67,Wilder,pubs,,https://s3-media4.fl.yelpcdn.com/bphoto/LvOum6bPslC4Q-XS4_K4BA/ms.jpg,wilder-portland,Portland,97211,5501 NE 30th Ave,45.56283474,-122.6349729,OR,tradamerican,burgers
4,204,Saraveza,pubs,5032064252,https://s3-media3.fl.yelpcdn.com/bphoto/xDl0diBTWHEJKhzuZYOOyQ/ms.jpg,saraveza-portland,Portland,97217,1004 N Killingsworth St,45.56258545,-122.6771811,OR,beer_and_wine,
4,423,Hair of the Dog Brewery and Tasting Room,breweries,5032326585,https://s3-media1.fl.yelpcdn.com/bphoto/1k6lLlr4iZTQnKvlplXRRA/ms.jpg,hair-of-the-dog-brewery-and-tasting-room-portland,Portland,97214,61 SE Yamhill St,45.5160408,-122.6655197,OR,pubs,german
4,28,The Jack London Bar,divebars,5032287605,https://s3-media1.fl.yelpcdn.com/bphoto/Q21rE31rVzTfm7TdIZ7mkg/ms.jpg,the-jack-london-bar-portland,Portland,97204,529 SW 4th Ave,45.51962703,-122.6760388,OR,lounges,
4,149,Moon & Sixpence British Pub,pubs,5032887802,https://s3-media1.fl.yelpcdn.com/bphoto/-ZJPFQM0enDx7XSenRCEZg/ms.jpg,moon-and-sixpence-british-pub-portland,Portland,97213,2014 NE 42nd Ave,45.53735352,-122.6196136,OR,british,musicvenues
4,215,Belmont Station,beergardens,5032328538,https://s3-media4.fl.yelpcdn.com/bphoto/c__AmCfvwmBKFsB6vO2A0w/ms.jpg,belmont-station-portland,Portland,97215,4500 SE Stark St,45.51905823,-122.6159592,OR,beerbar,
4,306,Base Camp Brewing,breweries,5034777479,https://s3-media4.fl.yelpcdn.com/bphoto/Kdlh9XbxSPN5ijQh2weDdA/ms.jpg,base-camp-brewing-portland,Portland,97214,930 SE Oak St,45.519912,-122.655967,OR,beerbar,beergardens
4,176,Rose & Thistle,pubs,5032878582,https://s3-media3.fl.yelpcdn.com/bphoto/LWKXTpQuKxnAz7aXgxXyUA/ms.jpg,rose-and-thistle-portland,Portland,97232,2314 NE Broadway,45.5348731,-122.6417859,OR,fishnchips,salad
4.5,46,West Coast Drinkery,pubs,5032921084,https://s3-media4.fl.yelpcdn.com/bphoto/AlkWfa2Ut0whf5TDrVn6_Q/ms.jpg,west-coast-drinkery-portland-2,Portland,97225,4704 SW Scholls Ferry Rd,45.48543,-122.74963,OR,pizza,
4,361,Tabor Tavern,pubs,5032083544,https://s3-media1.fl.yelpcdn.com/bphoto/zrGWgPJW6qkC9klauIB9BQ/ms.jpg,tabor-tavern-portland,Portland,97215,5325 E Burnside St,45.52297292,-122.6083311,OR,newamerican,
4,318,Prost,pubs,5039542674,https://s3-media1.fl.yelpcdn.com/bphoto/IbNk_ZsR_2sm16jATWXtIg/ms.jpg,prost-portland,Portland,97217,4237 N Mississippi,45.5544701,-122.6758194,OR,german,
4,230,10 Barrel Brewing Co,pubs,5032241700,https://s3-media2.fl.yelpcdn.com/bphoto/jqcoBby0Iodql9kd7s8GtA/ms.jpg,10-barrel-brewing-co-portland-2,Portland,97209,1411 NW Flanders St,45.52586378,-122.6854459,OR,breweries,
4,174,Stormbreaker Brewing,breweries,9717034516,https://s3-media2.fl.yelpcdn.com/bphoto/rm5dD5ZZOQPQ6LyGeGz8nA/ms.jpg,stormbreaker-brewing-portland,Portland,97227,832 N Beech St,45.54943,-122.675156,OR,bars,newamerican
4,91,The Waypost,pubs,5033673182,https://s3-media3.fl.yelpcdn.com/bphoto/n9HRGCkQPH0iyfz13AWJlg/ms.jpg,the-waypost-portland,Portland,97227,3120 N Williams Ave,45.54576732,-122.6664848,OR,musicvenues,vegan
4,122,Muddy Rudder Public House,pubs,5032334410,https://s3-media3.fl.yelpcdn.com/bphoto/rKluVb-8FLFaj5OBi847Kg/ms.jpg,muddy-rudder-public-house-portland,Portland,97202,8105 Se 7th Ave,45.46417236,-122.6593094,OR,newamerican,
4,57,Reverend Nat's Hard Cider Taproom,beerbar,5035672221,https://s3-media2.fl.yelpcdn.com/bphoto/D1h-PtLgvIXF90naQY_CLw/ms.jpg,reverend-nats-hard-cider-taproom-portland,Portland,97212,1813 NE 2nd Ave,45.5360735,-122.6636843,OR,cideries,
4,124,Bar of the Gods,divebars,5032322037,https://s3-media2.fl.yelpcdn.com/bphoto/QJT8Ohz6Nk7POw8aFXE5-g/ms.jpg,bar-of-the-gods-portland,Portland,97215,4801 SE Hawthorne Blvd,45.512127,-122.612987,OR,pubs,
4,86,North Bar,pubs,5035469973,https://s3-media1.fl.yelpcdn.com/bphoto/RrOc09jFjlKIMNRuvMLmbw/ms.jpg,north-bar-portland,Portland,97206,5008 SE Division St,45.50509,-122.61071,OR,,
4,133,Swift and Union,pubs,5032064281,https://s3-media3.fl.yelpcdn.com/bphoto/k8RIWFXxZ9CBJR_UOkUuZQ/ms.jpg,swift-and-union-portland,Portland,97217,8103 N Denver,45.58183289,-122.6872482,OR,newamerican,burgers
4,502,Horse Brass Pub,pubs,5032322202,https://s3-media3.fl.yelpcdn.com/bphoto/jLcuMfgjSMhSESp6fCMVBA/ms.jpg,horse-brass-pub-portland,Portland,97215,4534 SE Belmont St,45.51650494,-122.6157568,OR,british,
4,73,The Standard,divebars,5032334181,https://s3-media1.fl.yelpcdn.com/bphoto/8hnbYnIZ_MTJFAE6oE-O9A/ms.jpg,the-standard-portland,Portland,97232,14 NE 22nd Ave,45.52306898,-122.6433755,OR,,
4,154,Goose Hollow Inn,pubs,5032287010,https://s3-media2.fl.yelpcdn.com/bphoto/1T709vYY62HVOlRgi_HRKQ/ms.jpg,goose-hollow-inn-portland,Portland,97201,1927 SW Jefferson St,45.518256,-122.693835,OR,gastropubs,
4,104,Binks,pubs,5034934430,https://s3-media3.fl.yelpcdn.com/bphoto/w87z-IAvDVPisFYGM5SCZw/ms.jpg,binks-portland,Portland,97211,2715 NE Alberta St,45.55918,-122.6375,OR,,
4,75,Gladstone Street Pub,pubs,5037753502,https://s3-media1.fl.yelpcdn.com/bphoto/Pefft4CBSPkQwmayMjTq2g/ms.jpg,gladstone-street-pub-portland,Portland,97202,3737 SE Gladstone St,45.49358,-122.62382,OR,tradamerican,
4,956,McMenamins Kennedy School,pubs,5032493983,https://s3-media2.fl.yelpcdn.com/bphoto/cUPfXz2XTq4Ar7ZX5LYTmw/ms.jpg,mcmenamins-kennedy-school-portland,Portland,97211,5736 NE 33rd Ave.,45.5645,-122.62964,OR,hotels,movietheaters
4,152,NEPO 42,pubs,5032888080,https://s3-media1.fl.yelpcdn.com/bphoto/brXv4z27O-nXIrAyxh5uKg/ms.jpg,nepo-42-portland,Portland,97218,5403 NE 42nd Ave,45.5621376,-122.6207199,OR,newamerican,
4,49,Barlow Tavern,pubs,5032891163,https://s3-media4.fl.yelpcdn.com/bphoto/6nfB2oY04ZkiE2I07MTBhA/ms.jpg,barlow-tavern-portland,Portland,97217,6008 N Greeley Ave,45.56652451,-122.6952667,OR,divebars,
4.5,101,BrewCycle,pubs,9714005950,https://s3-media3.fl.yelpcdn.com/bphoto/F05AMwxXe-R25ZHiLL5I9Q/ms.jpg,brewcycle-portland,Portland,97209,1425 NW Flanders St,45.5258327,-122.6859554,OR,partybusrentals,
4,71,The B Side Tavern,divebars,5032333113,https://s3-media2.fl.yelpcdn.com/bphoto/bW_ds8WxT47Y8QDMp6Wxaw/ms.jpg,the-b-side-tavern-portland,Portland,97214,632 E Burnside,45.52269,-122.65898,OR,,
4,91,Alberta Street Pub,beerbar,5032847665,https://s3-media4.fl.yelpcdn.com/bphoto/YBgvXjp7EvTHNelavPY4Ug/ms.jpg,alberta-street-pub-portland,Portland,97211,1036 NE Alberta St,45.5589313,-122.6548335,OR,cocktailbars,tradamerican
4,52,Billy Ray's,divebars,5032877254,https://s3-media1.fl.yelpcdn.com/bphoto/el_qFYPmLL3Qp2rtw1oD3Q/ms.jpg,billy-rays-portland,Portland,97255,2216 NE M L King Blvd,45.52454,-122.67178,OR,,
4,207,Reel M Inn,divebars,5032313880,https://s3-media4.fl.yelpcdn.com/bphoto/YRrHVtiwNmU2gRqbRGOs6Q/ms.jpg,reel-m-inn-portland,Portland,97202,2430 SE Division St,45.504633,-122.640556,OR,tradamerican,
4,90,Hawthorne Hideaway,divebars,5034454600,https://s3-media3.fl.yelpcdn.com/bphoto/amSS6Y9WU-U9Ts6BiyI1Yg/ms.jpg,hawthorne-hideaway-portland,Portland,97255,2221 SE Hawthorne Blvd,45.51235,-122.64283,OR,poolhalls,tradamerican
4,199,Bushwhacker Cider,pubs,5034450577,https://s3-media2.fl.yelpcdn.com/bphoto/MCjDQeaskn-Bl0e3hMxoNg/ms.jpg,bushwhacker-cider-portland,Portland,97202,1212 D SE Powell Blvd,45.5004692,-122.6528473,OR,cideries,
4,54,The Sundown Pub,pubs,5032834200,https://s3-media4.fl.yelpcdn.com/bphoto/-wdH_CLeVgHAa-tn2Vz3PA/ms.jpg,the-sundown-pub-portland,Portland,97203,5903 N Lombard St,45.58433,-122.7284,OR,,
4.5,20,Locale,beerbar,5039461614,https://s3-media3.fl.yelpcdn.com/bphoto/VunvD68m6sJNB7qqIeDH7g/ms.jpg,locale-portland,Portland,97217,4330 N Mississippi Ave,45.55502958,-122.6754682,OR,coffee,cafes
4.5,26,Stein Haus,pubs,5039541797,https://s3-media3.fl.yelpcdn.com/bphoto/RHM0VN0LBtERgD-fJIlMoA/ms.jpg,stein-haus-portland,Portland,97216,2366 SE 82nd Ave,45.50566558,-122.5783099,OR,,
4,45,The Firkin Tavern,pubs,5032067552,https://s3-media3.fl.yelpcdn.com/bphoto/ynyywylRs-9-cI6eokpXGQ/ms.jpg,the-firkin-tavern-portland,Portland,97214,1937 SE 11th Ave,45.5088387,-122.654953,OR,divebars,pizza
4,131,Lompoc Brewing Hedge House,pubs,5032352215,https://s3-media2.fl.yelpcdn.com/bphoto/nzzJDnA0vCz0I6P4jrf0eQ/ms.jpg,lompoc-brewing-hedge-house-portland-2,Portland,97202,3412 SE Division St,45.50457,-122.62917,OR,breweries,tradamerican
4,82,Dockside Saloon & Restaurant,divebars,5032416433,https://s3-media4.fl.yelpcdn.com/bphoto/a5vI3m24B_5cRnR6aqXywQ/ms.jpg,dockside-saloon-and-restaurant-portland,Portland,97209,2047 NW Front Ave,45.53767395,-122.6884689,OR,tradamerican,
4,131,Ringler's Annex,pubs,5035250520,https://s3-media2.fl.yelpcdn.com/bphoto/t0i5aO9IvaWhLATVFTiBJA/ms.jpg,ringlers-annex-portland,Portland,97205,1223 SW Stark St.,45.52282715,-122.6837006,OR,tradamerican,
5,16,Barrio,beerbar,5025369463,https://s3-media1.fl.yelpcdn.com/bphoto/bgQJAG9AhIvlMNwawJT6fg/ms.jpg,barrio-portland,Portland,97206,7238 SE Foster Rd,45.48597,-122.58863,OR,wine_bars,
4,191,Kelly's Olympian,divebars,5032283669,https://s3-media4.fl.yelpcdn.com/bphoto/YJ_wrH4DyUlQ_vIaUsenjQ/ms.jpg,kellys-olympian-portland,Portland,97204,426 SW Washington St,45.51981,-122.67654,OR,tradamerican,
4,62,Basement Pub,pubs,5032316068,https://s3-media3.fl.yelpcdn.com/bphoto/zo89PZP906tbCAjLKb9EWQ/ms.jpg,basement-pub-portland-2,Portland,97253,1028 Se 12th Ave,45.51535,-122.65334,OR,,
3.5,115,County Cork Public House,pubs,5032844805,https://s3-media4.fl.yelpcdn.com/bphoto/SPxsMIAzNY-JWF1MeAfxzQ/ms.jpg,county-cork-public-house-portland,Portland,97212,1329 NE Fremont St,45.54839,-122.65211,OR,irish,musicvenues
4,50,Pine Street Market,pubs,5034761825,https://s3-media3.fl.yelpcdn.com/bphoto/WBFQXkGBN4AFFouGeJNFPA/ms.jpg,pine-street-market-portland-3,Portland,97204,126 SW Second Ave,45.52145,-122.67233,OR,coffee,gourmet
4,234,Roscoe's,divebars,5032550049,https://s3-media3.fl.yelpcdn.com/bphoto/yTo8diN4T78Mgv9LgtYAag/ms.jpg,roscoes-portland,Portland,97215,8105 SE Stark St,45.5192649,-122.5800557,OR,pubs,beerbar
3.5,119,White Eagle Saloon,pubs,5032826810,https://s3-media1.fl.yelpcdn.com/bphoto/tn5D_qF9VlEjSb4IXKofhw/ms.jpg,white-eagle-saloon-portland,Portland,97227,836 N Russell St,45.54079,-122.67546,OR,musicvenues,
3.5,144,Momo,divebars,5034789600,https://s3-media1.fl.yelpcdn.com/bphoto/Aww1NM9WxstNt2KnVMnk4Q/ms.jpg,momo-portland,Portland,97205,725 Sw 10th Ave,45.51957,-122.68264,OR,,
4,26,Mad Hanna,divebars,5032882944,https://s3-media3.fl.yelpcdn.com/bphoto/hFNyQDr-HT_xD4A8586yPQ/ms.jpg,mad-hanna-portland,Portland,97213,6129 NE Fremont St,45.5484314,-122.5996399,OR,,
3.5,446,Kells,pubs,5032274057,https://s3-media3.fl.yelpcdn.com/bphoto/Bcdu3ReHxhqX65d9CoAwZA/ms.jpg,kells-portland-2,Portland,97204,112 SW 2nd Ave,45.5217101,-122.6724118,OR,irish,musicvenues
4,81,Plew's Brews,pubs,5032832243,https://s3-media4.fl.yelpcdn.com/bphoto/RvfOi8GHWTmRbcV2T3vvuw/ms.jpg,plews-brews-portland,Portland,97203,8409 N  Lombard,45.58970913,-122.753094,OR,,
4,57,Park City Pub,pubs,5032847107,https://s3-media4.fl.yelpcdn.com/bphoto/uplfQdA5TDZuvMfyR7kVYQ/ms.jpg,park-city-pub-portland,Portland,97213,8025 NE Sandy Blvd,45.55205137,-122.5802631,OR,,
3.5,801,Rogue Distillery and Public House,pubs,5032225910,https://s3-media2.fl.yelpcdn.com/bphoto/20vavr2a2qcEFfmdcyJWiw/ms.jpg,rogue-distillery-and-public-house-portland-3,Portland,97209,1339 NW Flanders St,45.52591,-122.68497,OR,breweries,
3.5,61,The Groaning Board,pubs,9712549785,https://s3-media1.fl.yelpcdn.com/bphoto/MoC6MdAZ5t5Qdlk4lwMuAg/ms.jpg,the-groaning-board-portland-2,Portland,97239,3500 SW River Pkwy,45.4976567,-122.6696102,OR,newamerican,
4,82,The Sandy Hut,divebars,5032357972,https://s3-media1.fl.yelpcdn.com/bphoto/g76qIOikHWtJr8c6tNQEnA/ms.jpg,the-sandy-hut-portland,Portland,97232,1430 NE Sandy Blvd,45.52374268,-122.6508026,OR,beer_and_wine,tradamerican
3.5,118,Bazi Bierbrasserie,pubs,5032348888,https://s3-media3.fl.yelpcdn.com/bphoto/GM_X7wzv6HQ8HYA-XPKlQw/ms.jpg,bazi-bierbrasserie-portland,Portland,97214,1522 SE 32nd Ave,45.51180303,-122.6326675,OR,gastropubs,belgian
3.5,108,Kells Brew Pub,pubs,5037197175,https://s3-media1.fl.yelpcdn.com/bphoto/nLhxDBYhkKqy6KE_q3vzmQ/ms.jpg,kells-brew-pub-portland,Portland,97209,210 NW 21st Ave,45.52438,-122.69403,OR,breweries,
3.5,189,Paddy's Bar & Grill,pubs,5032245626,https://s3-media2.fl.yelpcdn.com/bphoto/JQ121_OOXO7r97ylMezl3Q/ms.jpg,paddys-bar-and-grill-portland,Portland,97204,65 SW Yamhill St,45.5171026,-122.673545,OR,irish,
4.5,43,Falco's Pub,pubs,5034779628,https://s3-media3.fl.yelpcdn.com/bphoto/yLonNwTIqx_dHPbJMCSFBg/ms.jpg,falcos-pub-portland,Portland,97216,9950 SE Stark St,45.5186195,-122.5621719,OR,tradamerican,
3.5,100,Lompoc Tavern,pubs,5038949374,https://s3-media2.fl.yelpcdn.com/bphoto/9SdCECpf_FiZ_DEXGInhUA/ms.jpg,lompoc-tavern-portland-4,Portland,97210,1620 NW 23rd Ave,45.5343363,-122.6987587,OR,breweries,tradamerican
4,319,Grain & Gristle,pubs,5032985007,https://s3-media4.fl.yelpcdn.com/bphoto/lUtBflWxs0iLm1_F3bbFHw/ms.jpg,grain-and-gristle-portland,Portland,97211,1473 NE Prescott St,45.5556488,-122.6500473,OR,gastropubs,newamerican
4,317,Dots Cafe,divebars,5032350203,https://s3-media2.fl.yelpcdn.com/bphoto/y6C2dea54STS7hOtWZTamw/ms.jpg,dots-cafe-portland,Portland,97202,2521 SE Clinton St,45.5033895,-122.6400161,OR,vegan,sandwiches
4,54,The Clinton Street Pub,divebars,,https://s3-media2.fl.yelpcdn.com/bphoto/4bBGdEmL1ZO6Ukuz7Xorjw/ms.jpg,the-clinton-street-pub-portland,Portland,97202,2516 SE Clinton St,45.5033353,-122.6401428,OR,,
3.5,404,Green Dragon Bistro and Brewpub,pubs,5035170660,https://s3-media1.fl.yelpcdn.com/bphoto/u7dV9BIl8Y6KceHbJ8duxw/ms.jpg,green-dragon-bistro-and-brewpub-portland,Portland,97214,928 SE 9th Ave,45.51611,-122.656429,OR,,
3.5,59,Pub at the End of the Universe,pubs,5032350969,https://s3-media2.fl.yelpcdn.com/bphoto/jx5I5OV-LKnoQjlp9pinDg/ms.jpg,pub-at-the-end-of-the-universe-portland,Portland,97202,4107 SE 28th Ave,45.49319,-122.63791,OR,,
3.5,154,Low Brow Lounge,divebars,5032260200,https://s3-media2.fl.yelpcdn.com/bphoto/bDRVMHy7bT-cr9cGZ71ccw/ms.jpg,low-brow-lounge-portland,Portland,97209,1036 NW Hoyt St,45.52720092,-122.681711,OR,pubs,lounges
4,38,Hop Haven - Beer Bar and Bottle Shop,beerbar,5032870244,https://s3-media1.fl.yelpcdn.com/bphoto/p3cr5ZPggsbtPkXN3jqVRg/ms.jpg,hop-haven-beer-bar-and-bottle-shop-portland,Portland,97232,2130 NE Broadway,45.53496525,-122.6441936,OR,,
3.5,230,North 45,pubs,5032486317,https://s3-media1.fl.yelpcdn.com/bphoto/gLRvjuBmyj8sqHxOdr52OQ/ms.jpg,north-45-portland,Portland,97209,517 NW 21st Ave,45.5266466,-122.6945208,OR,newamerican,burgers
3.5,66,The Red Fox,beerbar,5032822934,https://s3-media3.fl.yelpcdn.com/bphoto/85B2OQ4QupADL-wUi3p7gg/ms.jpg,the-red-fox-portland,Portland,97217,5128 N Albina Ave,45.5602,-122.67474,OR,,
4,74,ChkChk,beerbar,9713026368,https://s3-media4.fl.yelpcdn.com/bphoto/A8R0tqns1iMQdS-HwywbPA/ms.jpg,chkchk-portland-2,Portland,97210,1305 Northwest 23rd Avenue,45.53210956,-122.6988437,OR,chickenshop,hotdogs
3.5,192,Lompoc Brewing 5th Quadrant,breweries,5032883996,https://s3-media3.fl.yelpcdn.com/bphoto/u9KIexW6viDnACwzzOlvdQ/ms.jpg,lompoc-brewing-5th-quadrant-portland,Portland,97227,3901 N Williams Ave,45.550968,-122.667126,OR,pubs,beer_and_wine
4,38,Sloan's Tavern,divebars,5032872262,https://s3-media3.fl.yelpcdn.com/bphoto/gJ-ADOoM-IOTCtXXMqi9sA/ms.jpg,sloans-tavern-portland,Portland,97227,36 N Russell St,45.54076,-122.66747,OR,tradamerican,
3.5,291,Lucky Labrador Brewing Co.,pubs,5032363555,https://s3-media2.fl.yelpcdn.com/bphoto/ysqPCRAs5b9Fi3CMruQyGQ/ms.jpg,lucky-labrador-brewing-co-portland-2,Portland,97214,915 SE Hawthorne Blvd,45.51245,-122.65642,OR,breweries,newamerican
4,170,Lompoc Brewing: Oaks Bottom Public House,pubs,5032321728,https://s3-media1.fl.yelpcdn.com/bphoto/2Uhvw79Ro6JdkqbWSgUHHw/ms.jpg,lompoc-brewing-oaks-bottom-public-house-portland-2,Portland,97202,1621 SE Bybee Blvd,45.47393,-122.64939,OR,,
3.5,129,Caldera Public House,pubs,5032338242,https://s3-media2.fl.yelpcdn.com/bphoto/680MkHb5X9rQbVS-gKhVcA/ms.jpg,caldera-public-house-portland,Portland,97215,6031 SE Stark St,45.51947403,-122.6016388,OR,tradamerican,
4,49,Brooklyn Park Pub,divebars,5032347772,https://s3-media1.fl.yelpcdn.com/bphoto/OM8vubHaWc8AYz9xMw-JoQ/ms.jpg,brooklyn-park-pub-portland,Portland,97202,3400 SE Milwaukie Ave,45.49801,-122.65379,OR,,
4,81,Club 21,divebars,5032355690,https://s3-media1.fl.yelpcdn.com/bphoto/3dEbCHB4gqyx2mc2oLV_Qg/ms.jpg,club-21-portland,Portland,97232,2035 NE Glisan St,45.52675,-122.64475,OR,tradamerican,
3.5,57,Gil's Speakeasy Tavern,divebars,5032348991,https://s3-media3.fl.yelpcdn.com/bphoto/8cYgpvAnST8XhrKOaDbt_A/ms.jpg,gils-speakeasy-tavern-portland,Portland,97214,609 1/2 SE Taylor St,45.5153,-122.65943,OR,newamerican,
3.5,188,Widmer Brothers,pubs,5032813333,https://s3-media3.fl.yelpcdn.com/bphoto/nNO8Xv9Me51d7rTNWguB9g/ms.jpg,widmer-brothers-portland-2,Portland,97227,955 N Russell St,45.54128,-122.67656,OR,venues,
3.5,86,Lutz Tavern,divebars,5037740353,https://s3-media1.fl.yelpcdn.com/bphoto/mOPG1mLYKJAWLipOy-YN-w/ms.jpg,lutz-tavern-portland,Portland,97206,4639 SE Woodstock Blvd,45.47941,-122.61472,OR,lounges,poolhalls
3.5,83,The Side Street Tavern,pubs,5032367999,https://s3-media3.fl.yelpcdn.com/bphoto/ydbUzw21Q_cSJlXlyix41g/ms.jpg,the-side-street-tavern-portland,Portland,97214,828 SE 34th Ave,45.516716,-122.6292648,OR,,
3.5,66,McMenamins Fulton Pub & Brewery,pubs,5032469530,https://s3-media3.fl.yelpcdn.com/bphoto/OmulrECqfHZ0RDRw0KJRkA/ms.jpg,mcmenamins-fulton-pub-and-brewery-portland,Portland,97239,0618 SW Nebraska St,45.47720388,-122.6728617,OR,tapas,
